City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
120,georgetown,5.4112,100.3354,28.3,89,20,1.03,MY,1712014047
121,smithers,54.7804,-127.1743,5.18,81,100,4.12,CA,1712014197
122,alice springs,-23.7,133.8833,22.34,42,75,4.12,AU,1712014198
123,kruisfontein,-34.0033,24.7314,16.6,75,99,2.25,ZA,1712014198
124,pizarro,4.9533,-77.366,26.51,85,77,1.47,CO,1712014198
125,bilibino,68.0546,166.4372,-18.98,66,95,0.88,RU,1712014199
126,tiangua,-3.7322,-40.9917,20.52,99,89,0.89,BR,1712014119
127,ostrov,57.3439,28.3537,7.85,88,98,1.4,RU,1712014199
128,sharm el-sheikh,27.8518,34.305,29.08,26,0,2.57,EG,1712013914
129,whitehorse,60.7161,-135.0538,3.43,37,100,6.17,CA,1712013969
130,puerto baquerizo moreno,-0.9,-89.6,25.07,76,20,3.14,EC,1712014201
131,dhenkanal,20.6667,85.6,27.05,65,29,1.37,IN,1712014201
132,altamira,-3.2033,-52.2064,24.93,96,100,1.03,BR,1712014088
133,martapura,-3.4167,114.85,25.05,94,0,1.03,ID,1712014202
134,nema,57.5067,50.5011,2.32,99,100,5.13,RU,1712014202
135,raduzhny,62.0961,77.475,-4.68,97,100,1.44,RU,1712014203
136,wailua homesteads,22.0669,-159.378,26.24,75,100,6.69,US,1712014203
137,masuguru,-11.3667,38.4167,21.67,91,85,0.59,TZ,1712014038
138,cajuru,-21.2753,-47.3042,20.74,69,62,1.41,BR,1712014204
139,isafjordur,66.0755,-23.124,-3.53,77,99,11.2,IS,1712014204
140,tazacorte,28.629,-17.9293,17.54,83,0,3.09,ES,1712014205
141,scarborough,54.2797,-0.4044,8.14,92,36,3.13,GB,1712014148
142,newcastle west,52.4492,-9.0611,7.47,96,70,0.32,IE,1712014206
143,tambopata,-12.7333,-69.1833,27.94,83,40,1.03,PE,1712014206
144,sitka,57.0531,-135.33,7.94,57,100,8.23,US,1712013939
